backend,queueName,duration,messageSize,maxMessages,producers,consumers,nonBlocking,randomPayload,latencySample,elapsedSec,recv,bytesRecv,msgPerSec,MiBps,p50us,p90us,p95us,p99us,p999us
mqueue,/mq_bench,3,64,10,1,1,0,0,50000,3.002423,911954,58365056,303739.35,18.54,19.62,22.79,23.88,30.38,42.75
mqueue,/mq_bench,3,64,10,1,2,0,0,50000,3.002634,911255,58320320,303485.21,18.52,21.08,22.62,23.04,28.04,36.58
mqueue,/mq_bench,3,64,10,1,1,0,0,50000,3.108788,799510,51168640,257177.40,15.70,21.83,24.46,31.38,56.83,217.46
mqueue,/mq_bench,3,64,10,1,2,0,0,50000,3.109677,930529,59553856,299236.59,18.26,21.08,23.00,24.08,37.17,87.33
mqueue,/mq_bench,3,64,10,1,4,0,0,50000,3.110156,1267284,81106176,407466.42,24.87,9.71,24.88,37.34,63.33,117.96
mqueue,/mq_bench,3,64,10,2,1,0,0,50000,3.108005,910041,58242624,292805.52,17.87,23.17,27.58,33.88,45.62,65.38
mqueue,/mq_bench,3,64,10,2,2,0,0,50000,3.002580,1924715,123181760,641020.43,39.12,9.88,19.04,21.00,37.42,64.33
mqueue,/mq_bench,3,64,10,2,4,0,0,50000,3.003470,1353457,86621248,450631.14,27.50,11.12,26.38,38.21,70.42,330.50
mqueue,/mq_bench,3,64,10,4,1,0,0,50000,3.109989,1460926,93499264,469752.77,28.67,17.08,33.50,38.71,52.04,84.83
mqueue,/mq_bench,3,64,10,4,2,0,0,50000,3.002801,1487162,95178368,495258.26,30.23,14.71,33.33,39.62,61.83,340.54
mqueue,/mq_bench,3,64,10,4,4,0,0,50000,3.021148,600546,38434944,198780.75,12.13,13.04,32.75,40.96,87.00,10324.70
mqueue,/mq_bench,3,256,10,1,1,0,0,50000,3.109704,866621,221854976,278682.79,68.04,22.17,23.71,24.75,31.71,44.38
mqueue,/mq_bench,3,256,10,1,2,0,0,50000,3.109539,947350,242521600,304659.30,74.38,21.08,22.79,23.54,33.12,65.33
mqueue,/mq_bench,3,256,10,1,4,0,0,50000,3.107372,1358159,347688704,437076.43,106.71,9.67,21.67,36.29,62.21,118.71
mqueue,/mq_bench,3,256,10,2,1,0,0,50000,3.002725,887920,227307520,295704.77,72.19,23.33,31.38,38.08,59.13,201.83
mqueue,/mq_bench,3,256,10,2,2,0,0,50000,3.003331,1942764,497347584,646869.67,157.93,8.58,18.96,22.83,42.38,74.58
mqueue,/mq_bench,3,256,10,2,4,0,0,50000,3.109498,1483319,379729664,477028.43,116.46,11.08,25.54,37.67,69.08,211.27
mqueue,/mq_bench,3,256,10,4,1,0,0,50000,3.110102,1464682,374958592,470943.40,114.98,16.83,33.79,39.79,52.75,95.50
mqueue,/mq_bench,3,256,10,4,2,0,0,50000,3.109795,1453145,372005120,467279.95,114.08,14.75,34.08,40.83,64.33,263.96
mqueue,/mq_bench,3,256,10,4,4,0,0,50000,3.113986,378904,96999424,121678.13,29.71,12.46,33.25,43.00,141.96,16530.44
mqueue,/mq_bench,3,1024,10,1,1,0,0,50000,3.108565,842454,862672896,271010.60,264.66,21.71,23.50,24.62,34.00,85.08
mqueue,/mq_bench,3,1024,10,1,2,0,0,50000,3.003958,937716,960221184,312160.14,304.84,21.25,23.08,23.79,36.96,86.38
mqueue,/mq_bench,3,1024,10,1,4,0,0,50000,3.109736,1420082,1454163968,456656.84,445.95,9.33,21.62,35.88,63.46,109.54
mqueue,/mq_bench,3,1024,10,2,1,0,0,50000,3.109303,952656,975519744,306388.93,299.21,23.38,26.58,33.00,43.83,82.33
mqueue,/mq_bench,3,1024,10,2,2,0,0,50000,3.109710,1960262,2007308288,630368.10,615.59,8.83,19.17,21.96,42.04,73.29
mqueue,/mq_bench,3,1024,10,2,4,0,0,50000,3.110157,1202869,1231737856,386755.02,377.69,11.75,29.62,42.42,85.88,439.75
mqueue,/mq_bench,3,1024,10,4,1,0,0,50000,3.002929,1533051,1569844224,510518.58,498.55,16.29,33.42,39.92,56.21,106.83
mqueue,/mq_bench,3,1024,10,4,2,0,0,50000,3.109434,1330689,1362625536,427952.11,417.92,15.04,36.33,46.12,80.08,385.31
mqueue,/mq_bench,3,1024,10,4,4,0,0,50000,3.014948,557370,570746880,184868.86,180.54,13.83,32.92,41.38,90.75,12393.78
mqueue,/mq_bench,3,4096,10,1,1,0,0,50000,3.110307,1240149,5079650304,398722.35,1557.51,10.50,23.42,23.83,33.62,90.25
mqueue,/mq_bench,3,4096,10,1,2,0,0,50000,3.105233,1083772,4439130112,349014.66,1363.34,20.25,23.04,23.83,32.08,63.71
mqueue,/mq_bench,3,4096,10,1,4,0,0,50000,3.109477,1652396,6768214016,531406.46,2075.81,8.29,18.33,33.50,62.17,105.96
mqueue,/mq_bench,3,4096,10,2,1,0,0,50000,3.109402,1037025,4247654400,333512.69,1302.78,23.42,25.92,28.46,42.71,61.88
mqueue,/mq_bench,3,4096,10,2,2,0,0,50000,3.109394,1808267,7406661632,581549.68,2271.68,10.88,19.21,21.96,39.96,76.00
mqueue,/mq_bench,3,4096,10,2,4,0,0,50000,3.109928,1480247,6063091712,475974.72,1859.28,10.71,23.62,32.92,65.88,199.42
mqueue,/mq_bench,3,4096,10,4,1,0,0,50000,3.002910,1678383,6874656768,558918.76,2183.28,15.96,27.29,35.17,52.42,97.63
mqueue,/mq_bench,3,4096,10,4,2,0,0,50000,3.002482,1585795,6495416320,528161.31,2063.13,14.83,30.79,37.96,62.50,301.50
mqueue,/mq_bench,3,4096,10,4,4,0,0,50000,3.025759,844390,3458621440,279067.19,1090.11,13.83,32.38,40.12,88.79,8074.23
mqueue,/mq_bench,3,8192,10,1,1,0,0,50000,3.109616,1613692,13219364864,518936.04,4054.19,10.71,18.08,23.04,25.08,40.63
mqueue,/mq_bench,3,8192,10,1,2,0,0,50000,3.109516,1456432,11931090944,468379.07,3659.21,10.08,21.58,23.42,29.71,54.67
mqueue,/mq_bench,3,8192,10,1,4,0,0,50000,3.003172,1678324,13748830208,558850.53,4366.02,7.38,18.29,27.33,60.21,119.92
mqueue,/mq_bench,3,8192,10,2,1,0,0,50000,3.003196,1298414,10636607488,432344.15,3377.69,16.96,26.67,27.54,34.83,50.08
mqueue,/mq_bench,3,8192,10,2,2,0,0,50000,3.002305,1710392,14011531264,569692.92,4450.73,11.46,23.29,25.38,34.96,70.92
